Code,Latitude,Longitude,Geofence Radius (m)
SITE-025,28.471313,77.093938,100
SITE-026,26.494334,80.316436,100
SITE-027,28.525769,77.184149,100
SITE-028,26.831843,81.017492,100
SITE-029,26.822416,81.021850,200
SITE-030,26.822186,81.020684,200
SITE-031,26.866924,81.008866,100
SITE-032,28.487167,77.177571,150
SITE-033,30.899901,75.738950,100
SITE-034,28.572616,77.263552,100
SITE-035,31.658403,74.826737,100
SITE-036,28.516565,77.102856,150
SITE-037,26.864430,75.766038,100
SITE-038,28.568574,77.273778,100
SITE-039,28.448990,76.822792,150
SITE-040,28.456328,77.168602,150
SITE-041,22.755587,75.946853,100
SITE-042,28.394938,77.333019,150
SITE-043,28.592716,77.216664,100
SITE-044,28.673440,77.222013,100
SITE-045,28.529529,77.109819,150
SITE-046,30.236534,74.963090,100
SITE-047,28.518389,77.167053,100
SITE-048,28.525620,77.111929,150
SITE-049,28.456328,77.168602,150
SITE-050,28.573166,77.263234,100
SITE-051,28.514907,77.145912,150
SITE-052,28.680625,77.090550,150
SITE-053,28.627851,77.224483,100
SITE-054,28.399509,77.071888,200
SITE-055,28.483603,77.159840,150
SITE-056,21.257866,81.664359,100
SITE-057,28.529529,77.109819,150
SITE-058,28.574482,77.163593,100
SITE-059,28.547425,77.200241,100
SITE-060,28.394870,76.989363,250
SITE-061,28.538641,77.068502,150
SITE-062,28.527273,77.107590,150
SITE-063,28.420963,77.144629,150
SITE-064,28.490394,77.170181,150
SITE-065,28.434854,77.035110,100
SITE-066,28.471313,77.093938,100
SITE-067,28.480362,77.191650,150
SITE-068,28.562319,77.159309,100
SITE-069,28.490394,77.170181,150
SITE-070,28.405316,77.058391,100
SITE-071,28.595336,77.216427,100
SITE-072,28.467502,77.079155,100
SITE-073,28.397650,77.072101,100
SITE-074,28.682452,77.079136,150
SITE-075,28.498282,77.163323,100
SITE-076,28.524850,77.116875,150
SITE-077,28.765861,77.197759,150
OFFICE,28.538121,77.273321,100
SITE-001,27.165068,78.054562,250
SITE-002,28.413717,77.140784,150
SITE-003,28.532687,77.116914,150
SITE-004,28.574940,77.165669,100
SITE-005,28.514907,77.145912,100
SITE-006,28.526588,77.110680,150
SITE-019,26.226400,78.190900,200
SITE-007,28.654139,77.307313,100
SITE-016,28.563573,77.160477,100
SITE-024,28.383600,77.113600,200
SITE-008,28.520181,77.104975,150
SITE-009,12.929327,77.625772,100
SITE-010,28.566824,77.157870,100
SITE-011,28.174818,77.599005,250
SITE-012,28.397650,77.072101,100
SITE-013,28.716448,77.204662,100
SITE-014,28.527273,77.107590,150
SITE-015,28.565130,77.164394,100
SITE-017,28.491649,77.077692,150
SITE-018,28.551804,77.268065,150
SITE-020,28.396583,77.326542,100
SITE-021,30.696412,76.706444,200
SITE-022,28.568601,77.217534,100
SITE-023,28.529131,77.068937,150
